Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
A4A9258269029F3E083C5992498F66E8DF216B50_1647921534,03/22/2022 03:58:54 AM +0000,Crash Urgent,"(30.262577,-97.722112)",30.262577,-97.722112,E 7th St & Chicon St,ARCHIVED,03/22/2022 05:20:03 AM +0000
7AA354EBD11CE97D09FB46CD0054261878FB9060_1647924371,03/22/2022 04:46:11 AM +0000,COLLISION,"(30.353355,-97.594573)",30.353355,-97.594573,8101 E PARMER LN,ARCHIVED,03/22/2022 05:05:03 AM +0000
8815061C1A6C63398B9A2DFB1F44AAE89DD59BFD_1647927240,03/22/2022 05:34:00 AM +0000,COLLISION,"(30.258699,-97.480373)",30.258699,-97.480373,20918 BLAKE MANOR RD,ARCHIVED,03/22/2022 06:05:03 AM +0000
B272F93BEC8B442CCB201F7A15F200147DF4BE29_1647930163,03/22/2022 06:22:43 AM +0000,COLLISION,"(30.347945,-97.593187)",30.347945,-97.593187,11900-12021 N SH 130 SVRD NB,ARCHIVED,03/22/2022 06:55:02 AM +0000
A79F61DFADC4E107223F28D9031FAE66C437132D_1647930080,03/22/2022 06:21:20 AM +0000,Crash Service,"(30.291732,-97.749869)",30.291732,-97.749869,2601 N Lamar Blvd,ARCHIVED,03/22/2022 07:35:03 AM +0000
F5B2CF7F714E8990F6224B8906CCD1CE96FC0A0E_1647931127,03/22/2022 06:38:47 AM +0000,Crash Urgent,"(30.22601,-97.681635)",30.22601,-97.681635,0 E Sh 71 Wb To Bastrop Nb Ramp,ARCHIVED,03/22/2022 10:50:03 AM +0000
8F7A4CF1D8FB52D12619FB0C6CAFC42ABF5A5E61_1647929005,03/22/2022 06:03:25 AM +0000,COLLISION,"(30.247454,-97.582999)",30.247454,-97.582999,HUNTERS BEND RD & FM 969 RD,ARCHIVED,03/22/2022 06:50:03 AM +0000
8EE52A4C4F76EC787956843420DEC672B6DF8ADA_1647946409,03/22/2022 10:53:29 AM +0000,Crash Urgent,"(30.215724,-97.744069)",30.215724,-97.744069,Woodward St & E Ben White Blvd Svrd Eb,ARCHIVED,03/22/2022 11:40:03 AM +0000
C465CA6FDF91527E8237C635BDF908249BA0A095_1647951867,03/22/2022 12:24:27 PM +0000,Crash Urgent,"(30.400167,-97.640722)",30.400167,-97.640722,13200-13308 Dessau Rd,ARCHIVED,03/22/2022 02:45:03 PM +0000
3DEFC7562611DA865D801E506DCA4F9DE6AAC674_1647952483,03/22/2022 12:34:43 PM +0000,Crash Service,"(30.424256,-97.671191)",30.424256,-97.671191,W Howard Ln & N Ih 35 Svrd Nb,ARCHIVED,03/22/2022 03:45:03 PM +0000
78F2CC125471EEA9FFEC1EBF0F61C21E40D07EE2_1647948502,03/22/2022 11:28:22 AM +0000,COLLISION WITH INJURY,"(30.187649,-97.59795)",30.187649,-97.59795,E Sh 71 Eb & Doctor Scott Dr,ARCHIVED,03/22/2022 01:10:03 PM +0000
F98B74B9EA9CF343C2CB4DD58C9A851780C4BF35_1647954349,03/22/2022 01:05:49 PM +0000,Crash Urgent,"(30.220885,-97.765172)",30.220885,-97.765172,4200-4227 S Congress Ave,ARCHIVED,03/22/2022 01:25:03 PM +0000
46C0745C8E6E54D5693B88CA96484661BE1DA666_1647954411,03/22/2022 01:06:51 PM +0000,Crash Urgent,"(30.258868,-97.746251)",30.258868,-97.746251,303 S Congress Ave,ARCHIVED,03/22/2022 01:25:03 PM +0000
36493DD0B6193D22B5B7E59C6D30E9137AA7009E_1647954313,03/22/2022 01:05:13 PM +0000,Crash Urgent,"(30.399256,-97.672991)",30.399256,-97.672991,Tech Ridge Blvd & W Yager Ln,ARCHIVED,03/22/2022 04:50:03 PM +0000
5B02EEDFCDE9C5448007197D8E9B42AF80204E9B_1647956316,03/22/2022 01:38:36 PM +0000,COLLISION,"(30.295122,-97.924656)",30.295122,-97.924656,11326-11621 W Sh 71,ARCHIVED,03/22/2022 01:45:03 PM +0000
BB90B951CC44027CFDFEF5D1148376CC9FA9D554_1647956812,03/22/2022 01:46:52 PM +0000,Crash Urgent,"(30.249144,-97.767325)",30.249144,-97.767325,S Lamar Blvd & W Mary St,ARCHIVED,03/22/2022 02:05:03 PM +0000
CF9725A2055B246C88258A875D98584BA37189AF_1647957587,03/22/2022 01:59:47 PM +0000,Crash Urgent,"(30.396688,-97.732579)",30.396688,-97.732579,10700 N Mopac Expy Sb,ARCHIVED,03/22/2022 02:45:03 PM +0000
FD1CDC5192FD84041D83C0EF6053A484314F07F3_1647960403,03/22/2022 02:46:43 PM +0000,Crash Urgent,"(30.235398,-97.854567)",30.235398,-97.854567,5700-6156 W Us 290 Hwy Wb,ARCHIVED,03/22/2022 03:50:03 PM +0000
C18599781823E7340AFF1F2B4D728F0FEBDEC4A6_1647958892,03/22/2022 02:21:32 PM +0000,Crash Service,"(30.365556,-97.717788)",30.365556,-97.717788,1812 Payton Gin Rd,ARCHIVED,03/22/2022 04:45:03 PM +0000
F4F9DD8C2988666B84167D2D7E58D654A53560A1_1647957683,03/22/2022 02:01:23 PM +0000,COLLISN/ LVNG SCN,"(30.348765,-97.558857)",30.348765,-97.558857,11032 E Us 290 Hwy Wb,ARCHIVED,03/22/2022 02:55:03 PM +0000
FF330DC7FD79A765ECA8D1EC27CD3711D2C2946E_1647961978,03/22/2022 03:12:58 PM +0000,Crash Urgent,"(30.209587,-97.755305)",30.209587,-97.755305,4600 S Ih 35 Nb,ARCHIVED,03/22/2022 03:30:02 PM +0000
